LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
1	 0.000	 1	 1	 1-1	 1	 -0.015	 -0.014	 00001.bin	
2	 0.387	 1	 1	 1-1	 1	 -0.015	 -0.009	 00002.bin	
3	 0.773	 1	 1	 1-1	 1	 0.005	 -0.012	 00003.bin	
4	 1.161	 1	 1	 1-1	 1	 -0.003	 -0.007	 00004.bin	
5	 1.548	 1	 1	 1-1	 1	 -0.003	 -0.002	 00005.bin	
6	 1.934	 1	 1	 1-1	 1	 0.014	 -0.011	 00006.bin	
7	 2.322	 1	 1	 1-1	 1	 -0.018	 -0.003	 00007.bin	
8	 2.709	 1	 1	 1-1	 1	 0.005	 -0.011	 00008.bin	
9	 3.096	 1	 1	 1-1	 1	 -0.012	 -0.011	 00009.bin	
10	 3.483	 1	 1	 1-1	 1	 -0.013	 -0.011	 00010.bin	
11	 3.869	 1	 1	 1-1	 1	 0.003	 0.006	 00011.bin	
12	 4.257	 1	 1	 1-1	 1	 0.006	 0.004	 00012.bin	
13	 4.643	 1	 1	 1-1	 1	 0.005	 -0.007	 00013.bin	
14	 5.030	 1	 1	 1-1	 1	 0.007	 -0.001	 00014.bin	
15	 5.417	 1	 1	 1-1	 1	 -0.010	 -0.010	 00015.bin	
16	 5.805	 1	 1	 1-1	 1	 -0.009	 -0.010	 00016.bin	
17	 6.191	 1	 1	 1-1	 1	 -0.009	 -0.013	 00017.bin	
18	 6.579	 1	 1	 1-1	 1	 -0.009	 -0.015	 00018.bin	
19	 6.965	 1	 1	 1-1	 1	 0.006	 0.004	 00019.bin	
20	 7.353	 1	 1	 1-1	 1	 -0.015	 -0.003	 00020.bin	
21	 7.740	 1	 1	 1-1	 1	 0.008	 -0.007	 00021.bin	
22	 8.127	 1	 1	 1-1	 1	 -0.000	 -0.000	 00022.bin	
23	 8.514	 1	 1	 1-1	 1	 -0.011	 -0.002	 00023.bin	
24	 8.901	 1	 1	 1-1	 1	 -0.002	 -0.017	 00024.bin	
25	 9.287	 1	 1	 1-1	 1	 -0.010	 -0.001	 00025.bin	
26	 9.674	 1	 1	 1-1	 1	 -0.021	 -0.001	 00026.bin	
27	 10.061	 1	 1	 1-1	 1	 -0.005	 -0.002	 00027.bin	
28	 10.449	 1	 1	 1-1	 1	 -0.026	 -0.005	 00028.bin	
29	 10.836	 1	 1	 1-1	 1	 -0.017	 0.012	 00029.bin	
30	 11.223	 1	 1	 1-1	 1	 0.006	 0.015	 00030.bin	
31	 11.610	 1	 1	 1-1	 1	 0.004	 0.000	 00031.bin	
32	 11.997	 1	 1	 1-1	 1	 0.000	 0.004	 00032.bin	
33	 12.383	 1	 1	 1-1	 1	 -0.015	 0.015	 00033.bin	
34	 12.770	 1	 1	 1-1	 1	 0.020	 -0.001	 00034.bin	
35	 13.157	 1	 1	 1-1	 1	 0.005	 0.010	 00035.bin	
36	 13.544	 1	 1	 1-1	 1	 0.011	 0.003	 00036.bin	
37	 13.930	 1	 1	 1-1	 1	 0.002	 0.000	 00037.bin	
38	 14.318	 1	 1	 1-1	 1	 -0.038	 -0.005	 00038.bin	
39	 14.705	 1	 1	 1-1	 1	 0.001	 0.006	 00039.bin	
40	 15.093	 1	 1	 1-1	 1	 0.012	 0.010	 00040.bin	
41	 15.479	 1	 1	 1-1	 1	 -0.004	 0.001	 00041.bin	
42	 15.866	 1	 1	 1-1	 1	 -0.016	 0.006	 00042.bin	
43	 16.253	 1	 1	 1-1	 1	 -0.007	 -0.001	 00043.bin	
44	 16.640	 1	 1	 1-1	 1	 0.002	 0.012	 00044.bin	
45	 17.027	 1	 1	 1-1	 1	 -0.021	 -0.013	 00045.bin	
46	 17.414	 1	 1	 1-1	 1	 -0.012	 -0.001	 00046.bin	
47	 17.801	 1	 1	 1-1	 1	 0.025	 -0.000	 00047.bin	
48	 18.188	 1	 1	 1-1	 1	 -0.005	 -0.018	 00048.bin	
49	 18.575	 1	 1	 1-1	 1	 0.010	 0.015	 00049.bin	
50	 18.962	 1	 1	 1-1	 1	 -0.004	 0.011	 00050.bin	
51	 19.349	 1	 1	 1-1	 1	 0.012	 0.011	 00051.bin	
52	 19.736	 1	 1	 1-1	 1	 -0.010	 -0.007	 00052.bin	
53	 20.123	 1	 1	 1-1	 1	 -0.012	 0.015	 00053.bin	
54	 20.510	 1	 1	 1-1	 1	 0.005	 0.001	 00054.bin	
55	 20.897	 1	 1	 1-1	 1	 -0.004	 0.017	 00055.bin	
56	 21.283	 1	 1	 1-1	 1	 0.005	 0.014	 00056.bin	
57	 21.671	 1	 1	 1-1	 1	 -0.016	 0.004	 00057.bin	
58	 22.058	 1	 1	 1-1	 1	 -0.001	 0.015	 00058.bin	
59	 22.445	 1	 1	 1-1	 1	 -0.005	 -0.003	 00059.bin	
60	 22.831	 1	 1	 1-1	 1	 0.005	 0.002	 00060.bin	
61	 23.219	 1	 1	 1-1	 1	 -0.013	 0.009	 00061.bin	
62	 23.606	 1	 1	 1-1	 1	 -0.008	 0.002	 00062.bin	
63	 23.993	 1	 1	 1-1	 1	 0.008	 0.006	 00063.bin	
64	 24.380	 1	 1	 1-1	 1	 0.011	 -0.007	 00064.bin	
65	 24.767	 1	 1	 1-1	 1	 0.003	 -0.005	 00065.bin	
66	 25.153	 1	 1	 1-1	 1	 -0.008	 -0.018	 00066.bin	
67	 25.541	 1	 1	 1-1	 1	 -0.006	 -0.002	 00067.bin	
68	 25.927	 1	 1	 1-1	 1	 0.015	 -0.010	 00068.bin	
69	 26.315	 1	 1	 1-1	 1	 -0.001	 -0.009	 00069.bin	
70	 26.702	 1	 1	 1-1	 1	 0.001	 -0.017	 00070.bin	
71	 27.089	 1	 1	 1-1	 1	 -0.008	 -0.013	 00071.bin	
72	 27.476	 1	 1	 1-1	 1	 -0.001	 -0.012	 00072.bin	
73	 27.863	 1	 1	 1-1	 1	 -0.013	 -0.016	 00073.bin	
74	 28.250	 1	 1	 1-1	 1	 0.005	 0.003	 00074.bin	
75	 28.637	 1	 1	 1-1	 1	 0.006	 0.005	 00075.bin	
76	 29.024	 1	 1	 1-1	 1	 -0.018	 -0.000	 00076.bin	
77	 29.411	 1	 1	 1-1	 1	 -0.007	 -0.001	 00077.bin	
78	 29.798	 1	 1	 1-1	 1	 -0.002	 -0.001	 00078.bin	
79	 30.185	 1	 1	 1-1	 1	 -0.002	 -0.010	 00079.bin	
80	 30.572	 1	 1	 1-1	 1	 -0.006	 -0.008	 00080.bin	
81	 30.959	 1	 1	 1-1	 1	 0.005	 -0.007	 00081.bin	
82	 31.346	 1	 1	 1-1	 1	 -0.004	 -0.004	 00082.bin	
83	 31.733	 1	 1	 1-1	 1	 -0.006	 0.000	 00083.bin	
84	 32.120	 1	 1	 1-1	 1	 -0.021	 -0.014	 00084.bin	
85	 32.507	 1	 1	 1-1	 1	 0.002	 -0.003	 00085.bin	
86	 32.894	 1	 1	 1-1	 1	 -0.005	 -0.008	 00086.bin	
